candidate_size,repetition,original_length,reconstructed_length,spectrum_size,levenshtein_similarity,execution_time
3,1,300,300,292,48.33333333333333,0.03199934959411621
3,2,300,300,292,42.00000000000001,0.1972055435180664
3,3,300,300,292,57.00000000000001,0.09187054634094238
5,1,300,300,292,47.0,0.015262842178344727
5,2,300,300,292,49.33333333333333,0.042455196380615234
5,3,300,300,292,44.99999999999999,0.016296863555908203
8,1,300,300,292,50.66666666666666,0.014406919479370117
8,2,300,300,292,53.0,0.03482460975646973
8,3,300,300,292,49.66666666666667,0.08027458190917969
10,1,300,300,292,47.333333333333336,0.03460407257080078
10,2,300,300,292,48.0,0.057079315185546875
10,3,300,300,292,45.666666666666664,0.02353048324584961
15,1,300,300,292,49.0,0.008733272552490234
15,2,300,300,292,50.66666666666666,0.012560844421386719
15,3,300,300,292,52.666666666666664,0.03720808029174805
20,1,300,300,292,51.0,0.013359308242797852
20,2,300,300,292,53.0,0.008919000625610352
20,3,300,300,292,49.66666666666667,0.019435644149780273
25,1,300,300,292,52.0,0.00939631462097168
25,2,300,300,292,47.333333333333336,0.23856544494628906
25,3,300,300,292,52.0,0.009280204772949219
30,1,300,300,292,49.0,0.01537013053894043
30,2,300,300,292,47.0,0.014675140380859375
30,3,300,300,292,50.33333333333334,0.04313826560974121
